"","Individual","Form","Polarity","Sex","AgeGroup","Age","DP.Constituency","Proximate1","Proximate2","Proximate1.adj","Adjacency","Token","Following"
"322","YB","R","Negative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there weren"," 't trams then, we 'd converted to buses by then.  It was converted to buses."
"323","YB","S","Affirmative","F","51-70",70,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," about four years and then youngest one "
"324","Yc","S","Affirmative","F","51-70",70,"numeric Q",0,0,"Adjacent","Adjacent","there was"," two on Bishopthorpe Road and- and I didn 't know any more.  "
"325","Yc","S","Affirmative","F","51-70",70,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no Guest Houses in York.  "
"326","Yc","R","Affirmative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there were"," dogs poisioned along here before he came and he had a pet shop, a pet shop, a pet shop. "
"327","Yc","R","Affirmative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there were"," Scaffolders working up at the old Adam 's Hydraulics 'cos it was being pulled down. "
"328","Yc","S","Affirmative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there was"," times like when a Policeman brought his cheque-book and said ""Oh Seargant-Spence 's left his cheque-book.""   "
"329","Yc","R","Affirmative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there were","things like that that happened. "
"330","Yc","R","Negative","F","51-70",70,"V",0,0,"Adjacent","Adjacent","there weren"," 't enough chairs for John and he came home real  upset and hurt you-know.  "
"331","YG","R","Affirmative","F","51-70",70,"definite",1,2,"Non-Adjacent","Non-Adjacent","there were"," all these cats to try and find out how many"
"332","YG","R","Affirmative","F","51-70",70,"neg",1,1,"Non-Adjacent","Non-Adjacent","there were"," no problems, no other repairs or-anything-like-that. "
"333","YG","R","Affirmative","F","51-70",70,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there were"," quite a lot that were very er very poor.  "
"334","YG","R","Affirmative","F","51-70",70,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there were"," some boys there at the time and I think"
"335","YG","R","Affirmative","F","51-70",70,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there were"," some characters there. "
"336","YG","R","Affirmative","F","51-70",70,"combo",1,1,"Non-Adjacent","Non-Adjacent","there were"," only three in just then.  "
"337","Yo","S","Affirmative","F","51-70",70,"numeric Q",1,1,"Non-Adjacent","Non-Adjacent","there was"," about twenty- twenty- twenty.  "
"338","Yo","S","Affirmative","F","51-70",70,"numeric Q",0,0,"Adjacent","Adjacent","there was"," twenty at this- in this particular one.  "
"339","Yo","S","Affirmative","F","51-70",70,"definite",1,2,"Non-Adjacent","Non-Adjacent","there was"," the two bo-- was they all boys?  "
"340","Yo","S","Affirmative","F","51-70",70,"partitive",0,3,"Adjacent","Non-Adjacent","there was"," some of the boys from where you are came in too- oh they were great.  They were lovely boys. "
"341","Yo","R","Affirmative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there were"," stalls r-- all over you-know.  Full. "
"342","Yo","S","Affirmative","F","51-70",70,"quantifier",1,5,"Non-Adjacent","Non-Adjacent","there was"," er two- we had two occasion.  Two days.  "
"343","Yo","R","Affirmative","F","51-70",70,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there were"," some orange ones as well with- mixed with them. "
"344","Yo","S","Affirmative","F","51-70",70,"combo",1,3,"Non-Adjacent","Non-Adjacent","there was"," about forty odd people al-- altogether.  Well "
"345","XD","S","Affirmative","F","51-70",70,"baradjective NP",2,2,"Non-Adjacent","Non-Adjacent","there was"," great big craters, where the bombs had er fallen you-know. "
"346","XD","R","Affirmative","F","51-70",70,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there were"," some days um, "
"347","XD","S","Affirmative","F","51-70",70,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," so many girls of us, and- "
"348","YI","S","Affirmative","F","70+",71,"quantifier",0,5,"Adjacent","Non-Adjacent","there was"," some really charming little Irish girls and they were good. You-know. "
"349","Yg","S","Affirmative","F","70+",72,"all",3,3,"Non-Adjacent","Non-Adjacent","there was"," all my er sisters and brothers and everybody in the house.  "
"350","Yg","S","Affirmative","F","70+",72,"definite",0,2,"Adjacent","Non-Adjacent","there was"," these four classes, and er, really it was lovely. "
"351","Yg","S","Affirmative","F","70+",72,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," four of us in the front bedroom, which luckily, is a big bedroom, "
"352","Yg","S","Affirmative","F","70+",72,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no roads, "
"353","Yg","R","Affirmative","F","70+",72,"neg",1,1,"Non-Adjacent","Non-Adjacent","there were"," no roads, "
"354","Yg","R","Affirmative","F","70+",72,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there were"," four classes in this one school.  "
"355","Yg","S","Affirmative","F","70+",72,"numeric Q",2,4,"Non-Adjacent","Non-Adjacent","there was"," one or two other shops there.  "
"356","Yg","R","Affirmative","F","70+",72,"numeric Q",0,3,"Adjacent","Non-Adjacent","there were"," two girls grammar-schools in York, "
"357","Yg","S","Affirmative","F","70+",72,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there was"," some houses there, you know where those new flats are now?  "
"358","Yg","R","Affirmative","F","70+",72,"combo",3,3,"Non-Adjacent","Non-Adjacent","there were"," obviously too many people in the house. "
"359","Yg","S","Affirmative","F","70+",72,"combo",2,3,"Non-Adjacent","Non-Adjacent","there was"," only really two choices an a-- um, (inc) factory, or the forces, "
"360","Yg","S","Affirmative","F","70+",72,"combo",2,2,"Non-Adjacent","Non-Adjacent","there was"," so many things, and they weren 't going to be me, and I thought "
"361","Yj","S","Affirmative","M","70+",72,"numeric Q",1,1,"Non-Adjacent","Non-Adjacent","there was"," about twelve thousand worked at Rowntree's.  "
"362","Yj","S","Affirmative","M","70+",72,"partitive",0,4,"Adjacent","Non-Adjacent","there was"," lots and lots of pubs that have been up and down are closed yeah.  "
"363","Yj","R","Affirmative","M","70+",72,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there were"," still plenty of jobs you-know."
"364","Yj","R","Affirmative","M","70+",72,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there were"," four porters in Heslington-Hall. "
"365","Yj","S","Affirmative","M","70+",72,"numeric Q",0,2,"Adjacent","Non-Adjacent","there was"," two big er freezers right at the end.  "
"366","Yj","R","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there were"," doors all over the place but as-you-say they 're locked now which is a good thing. "
"367","Yj","S","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there was"," hares and rats.  you see where them houses are now.  There were hares and rabbits running about there.  "
"368","Yj","S","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there was"," things said by (inc.) "
"369","Yj","R","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there were","hares and rabbits running about there."
"370","Yj","R","Affirmative","M","70+",72,"combo",2,5,"Non-Adjacent","Non-Adjacent","there were","maybe about seven or eight toilets you-know. "
"371","YP","S","Affirmative","F","70+",72,"partitive",1,4,"Non-Adjacent","Non-Adjacent","there was"," a lot of... injured people.  "
"372","YP","S","Affirmative","F","70+",72,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no treats for them. "
"373","YP","R","Negative","F","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there weren"," 't handouts like they are today you-know. "
"374","YP","R","Affirmative","F","70+",72,"V",1,1,"Non-Adjacent","Non-Adjacent","there were"," other incidents, but not mm. "
"375","YP","S","Affirmative","F","70+",72,"combo",2,3,"Non-Adjacent","Non-Adjacent","there was"," only about two years between all of us you-know, so I-mean we were all qu-- er close in- in a way.  "
"376","Yq","S","Affirmative","M","70+",72,"numeric Q",1,1,"Non-Adjacent","Non-Adjacent","there was"," a-thousand-five-hundred lads on the camp. "
"377","Yq","S","Affirmative","M","70+",72,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," a lot of people in the bar that night "
"378","Yq","S","Affirmative","M","70+",72,"partitive",3,3,"Non-Adjacent","Non-Adjacent","there was"," none of the people that had gone to that in Scouting you-know.  "
"379","Yq","R","Affirmative","M","70+",72,"partitive",0,0,"Adjacent","Adjacent","there were","eight of them."
"380","Yq","R","Affirmative","M","70+",72,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there were"," thirty boys.  Well, twenty-nine I got."
"381","Yq","S","Affirmative","M","70+",72,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," three things.   "
"382","Yq","S","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there was"," people teaching lads to drive cars.  Wonderful show. "
"383","Yq","S","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there was"," three of these.  And er-.  "
"384","Yq","S","Affirmative","M","70+",72,"combo",2,2,"Non-Adjacent","Non-Adjacent","there was"," so many people helping us with driving instructions and-all-this-sort-of-thing.  "
"385","Yr","R","Affirmative","M","70+",72,"numeric Q",0,4,"Adjacent","Non-Adjacent","there were","two rather sunburned er lady and gentleman "
"386","Yr","R","Affirmative","M","70+",72,"partitive",1,4,"Non-Adjacent","Non-Adjacent","there were"," a lot of er problems I could see, "
"387","Yr","R","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there were"," couples there where-  if a devious woman she used to try to use them you-see.  "
"388","Yr","R","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there were"," people who became school teachers and-things-like-that "
"389","Yr","R","Affirmative","M","70+",72,"quantifier",1,3,"Non-Adjacent","Non-Adjacent","there were"," a few married set-ups there and it wasn 't to be recommended really. "
"390","Yr","R","Affirmative","M","70+",72,"quantifier",0,3,"Adjacent","Non-Adjacent","there were"," some very peculiar- people say about the things that happened in Germany "
"391","Yr","R","Affirmative","M","70+",72,"V",1,1,"Non-Adjacent","Non-Adjacent","there were"," such things but.  "
"392","Yp","R","Affirmative","F","70+",74,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there were"," a lot of dances"
"393","Yp","R","Affirmative","F","70+",74,"numeric Q",2,4,"Non-Adjacent","Non-Adjacent","there were"," one or two little raids and one very bad raid on York."
"394","Yp","R","Affirmative","F","70+",74,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there were"," two regiments of troops in, so you can imagine! "
"395","Yp","R","Affirmative","F","70+",74,"bare NP",0,0,"Adjacent","Adjacent","there were"," Americans flying as Canadians, and er flying with British things you-know "
"396","Yp","R","Affirmative","F","70+",74,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there were"," big barracks, they 're mostly gone now.  "
"397","Yp","R","Affirmative","F","70+",74,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there were"," big goods-yards and that 's what they were doing"
"398","Yp","R","Affirmative","F","70+",74,"bare NP",1,1,"Non-Adjacent","Non-Adjacent","there were"," um troops from all over countries all over the world you-know,"
"399","Yp","R","Affirmative","F","70+",74,"quantifier",1,4,"Non-Adjacent","Non-Adjacent","there were"," about six or eight picture-houses in the town. "
"400","Yp","R","Affirmative","F","70+",74,"combo",1,3,"Non-Adjacent","Non-Adjacent","there were"," only six English girls and"
"401","Xt","S","Affirmative","M","70+",75,"definite",1,4,"Non-Adjacent","Non-Adjacent","there was"," all these little black kids standing near the train you-know, shouting ""Jambo, jambo!"" "
"402","Xt","S","Affirmative","M","70+",75,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," thousands of lives lost through it,"
"403","Xt","S","Affirmative","M","70+",75,"numeric Q",0,2,"Adjacent","Non-Adjacent","there was"," three white officers with them. "
"404","Xt","R","Affirmative","M","70+",75,"numeric Q",0,3,"Adjacent","Non-Adjacent","there were"," two or three books about lyke, and this was er, H-G-Wells's er, Shape-of-Things-To-Come."
"405","Xt","R","Affirmative","M","70+",75,"V",1,3,"Non-Adjacent","Non-Adjacent","there were"," about four main companies, but they were all self supporting. "
"406","Yx","R","Affirmative","F","70+",75,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there were"," n-- constant rows in the house because she didn 't do any practice. "
"407","Yx","R","Affirmative","F","70+",75,"quantifier",0,1,"Adjacent","Non-Adjacent","there were"," many times when we didn 't have a joint on the table at the weekend."
"408","Xd","S","Affirmative","F","70+",76,"definite",1,2,"Non-Adjacent","Non-Adjacent","there was"," the two halls.  "
"409","XE","R","Affirmative","F","70+",76,"numeric Q",0,0,"Adjacent","Adjacent","there were"," seven of them survived.  A"
"410","XE","R","Affirmative","F","70+",76,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there were"," some nasty men around but a-- we never and our mothers didn 't worry about-  "
"411","XE","R","Affirmative","F","70+",76,"V",1,1,"Non-Adjacent","Non-Adjacent","there were"," always books in the house and that sort of thing.  "
"412","XE","R","Affirmative","F","70+",76,"V",1,1,"Non-Adjacent","Non-Adjacent","there were"," more cousins there.  "
"413","XE","R","Affirmative","F","70+",76,"combo",1,2,"Non-Adjacent","Non-Adjacent","there were"," only two classes. "
"414","XE","R","Negative","F","70+",76,"combo",1,2,"Non-Adjacent","Non-Adjacent","there weren"," 't so many people interested in walking.  "
"415","YK","S","Affirmative","M","70+",78,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," only twelve of us in this particular L-A-D "
"416","YK","S","Affirmative","M","70+",78,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no Germans under thirty miles of the beach.  "
"417","YK","S","Affirmative","M","70+",78,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," four people for the holiday.  "
"418","Yv","S","Affirmative","F","70+",79,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," only two of them survived, and he was only eighteen "
"419","Yv","R","Negative","F","70+",79,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there weren"," 't a lot of cars and things even then about, "
"420","Yv","S","Affirmative","F","70+",79,"numeric Q",2,3,"Non-Adjacent","Non-Adjacent","there was"," one or two killed in that area, and um, I think- I think- I do-- I think there were firemen killed.  "
"421","Yv","S","Affirmative","F","70+",79,"numeric Q",2,3,"Non-Adjacent","Non-Adjacent","there was"," one or two posts vacant at Chatham... "
"422","Yv","R","Affirmative","F","70+",79,"bare NP",0,0,"Adjacent","Adjacent","there were"," chairs in.   "
"423","Yv","R","Affirmative","F","70+",79,"bare NP",0,0,"Adjacent","Adjacent","there were"," firemen killed.  One Sunday afternoon we had a bad raid, one Sunday afternoon, mm. "
"424","Yv","S","Affirmative","F","70+",79,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," you-know, some tragedies then.  "
"425","XC","R","Affirmative","M","70+",81,"numeric Q",0,0,"Adjacent","Adjacent","there were","six."
"426","XC","R","Affirmative","M","70+",81,"definite",1,2,"Non-Adjacent","Non-Adjacent","there were"," just these kids that were scattered about. "
"427","XC","R","Affirmative","M","70+",81,"partitive",4,4,"Non-Adjacent","Non-Adjacent","there were"," none of these er, drills and not- "
"428","XC","S","Affirmative","M","70+",81,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no bottles like there is now.  "
"429","XC","S","Affirmative","M","70+",81,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no planes to er-  "
"430","XC","R","Affirmative","M","70+",81,"neg",1,1,"Non-Adjacent","Non-Adjacent","there were"," no taps. "
"431","XC","S","Affirmative","M","70+",81,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no taps.  "
"432","XC","S","Affirmative","M","70+",81,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," fourteen weeks of solid frost.  That 's a long while in 't it?  (21.0)  "
"433","XC","R","Affirmative","M","70+",81,"numeric Q",2,2,"Non-Adjacent","Non-Adjacent","there were"," only about sixty, or seventy at that time. "
"434","XC","S","Affirmative","M","70+",81,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," three fields to work.  "
"435","XC","S","Affirmative","M","70+",81,"numeric Q",0,1,"Adjacent","Non-Adjacent","there was"," three-hundred veg there you-know.  "
"436","XC","S","Affirmative","M","70+",81,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," two daughters.  "
"437","XC","S","Affirmative","M","70+",81,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there was"," very few.  "
"438","XC","S","Affirmative","M","70+",81,"combo",2,3,"Non-Adjacent","Non-Adjacent","there was"," about a dozen or more waiting for a job, "
"439","XC","S","Affirmative","M","70+",81,"combo",1,1,"Non-Adjacent","Non-Adjacent","there was"," about five you-know.  "
"440","XC","R","Affirmative","M","70+",81,"combo",1,2,"Non-Adjacent","Non-Adjacent","there were"," about four pubs in Dunnington at that time, "
"441","Yb","S","Affirmative","F","70+",82,"partitive",0,3,"Adjacent","Non-Adjacent","there was"," lots of butchers' shops, and hope that your bull run down the passage "
"442","Yb","S","Affirmative","F","70+",82,"numeric Q",0,2,"Adjacent","Non-Adjacent","there was"," three black bull's heads on the coat of arms, "
"443","Yb","S","Affirmative","F","70+",82,"numeric Q",0,2,"Adjacent","Non-Adjacent","there was"," three black bull's heads on this coat of arms which was very unusual.  "
"444","Yb","S","Affirmative","F","70+",82,"numeric Q",0,1,"Adjacent","Non-Adjacent","there was"," two barracks.  The barracks are still there.  "
"445","Yb","R","Affirmative","F","70+",82,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there were"," poor people around us. "
"446","Yb","S","Affirmative","F","70+",82,"bare NP",0,0,"Adjacent","Adjacent","there was"," jobs them days.  "
"447","Yb","S","Affirmative","F","70+",82,"bare NP",0,0,"Adjacent","Adjacent","there was"," quarrels.  Harry, my husband, Harry-Brown,  "
"448","Yb","S","Affirmative","F","70+",82,"bare NP",0,0,"Adjacent","Adjacent","there was"," youngsters there, stood under shower with beautiful figures, "
"449","Yb","R","Negative","F","70+",82,"V",1,1,"Non-Adjacent","Non-Adjacent","there weren"," 't always  bulls, sometimes there was a few pigs, few sheep, "
"450","Yb","S","Affirmative","F","70+",82,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," only fifteen months between us, "
"451","Yb","S","Affirmative","F","70+",82,"combo",1,1,"Non-Adjacent","Non-Adjacent","there was"," only three in our family.  "
"452","Y9","S","Affirmative","M","70+",84,"bare NP",0,0,"Adjacent","Adjacent","there was"," cycles everywhere you went "
"453","Y9","S","Affirmative","M","70+",84,"bare NP",0,0,"Adjacent","Adjacent","there was"," cycles kicking about, everywhere.  "
"454","Y9","R","Affirmative","M","70+",84,"quantifier",1,2,"Non-Adjacent","Non-Adjacent","there were"," a few, but not many. "
"455","Yu","S","Affirmative","M","70+",84,"definite",0,2,"Adjacent","Non-Adjacent","there was"," these big rockets in (inc) and er number eight "
"456","Yu","R","Affirmative","M","70+",84,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there were"," a lot of dropping bombs all over the place. "
"457","Yu","R","Affirmative","M","70+",84,"partitive",0,4,"Adjacent","Non-Adjacent","there were"," lots of very interesting ones there. "
"458","Yu","S","Affirmative","M","70+",84,"partitive",2,4,"Non-Adjacent","Non-Adjacent","there was"," only a couple of years left, three years.  And but um-  "
"459","Yu","R","Affirmative","M","70+",84,"neg",1,1,"Non-Adjacent","Non-Adjacent","there were"," no cars about in those days, not a lot anyway.  There were so many bikes but"
"460","Yu","R","Negative","M","70+",84,"neg",3,3,"Non-Adjacent","Non-Adjacent","there were"," not so many women then. "
"461","Yu","R","Affirmative","M","70+",84,"numeric Q",2,3,"Non-Adjacent","Non-Adjacent","there were"," one or two bullies, school bullies.  "
"462","Yu","R","Affirmative","M","70+",84,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there were"," tiered seats.  That just reminded me about this. "
"463","Yu","R","Affirmative","M","70+",84,"quantifier",0,0,"Adjacent","Adjacent","there were"," lots on foot because many more people worked there than now."
"464","Yu","S","Affirmative","M","70+",84,"combo",1,1,"Non-Adjacent","Non-Adjacent","there was"," about seven or eight,"
"465","YM","R","Negative","F","70+",85,"definite",3,3,"Non-Adjacent","Non-Adjacent","there weren"," 't all the uniformed organizations that there are now like Brownies and Guides and things, "
"466","YM","R","Negative","F","70+",85,"definite",3,3,"Non-Adjacent","Non-Adjacent","there weren"," 't the big swimming baths in York that there are now.  "
"467","YM","S","Affirmative","F","70+",85,"definite",1,1,"Non-Adjacent","Non-Adjacent","there was"," the people that owned the Press, the newspaper.  "
"468","YM","S","Affirmative","F","70+",85,"partitive",0,5,"Adjacent","Non-Adjacent","there was"," lots of little private maternity hospitals kept up in the town there. "
"469","YM","S","Affirmative","F","70+",85,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," lots of people that um, when their childre-- when their babies were born,"
"470","YM","S","Affirmative","F","70+",85,"neg",2,2,"Non-Adjacent","Non-Adjacent","there was"," no family allowances.  Er, to um... "
"471","YM","S","Affirmative","F","70+",85,"numeric Q",0,3,"Adjacent","Non-Adjacent","there was"," four re-- four retired people and two er, a young couple.  "
"472","YM","R","Affirmative","F","70+",85,"bare NP",0,0,"Adjacent","Adjacent","there were"," coach outings as there are now, of you went on an outing it was always by train.  "
"473","YM","R","Negative","F","70+",85,"bare NP",0,0,"Adjacent","Adjacent","there weren"," 't any anywhere.  "
"474","YM","R","Affirmative","F","70+",85,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there were"," some local gentry lived in York in those days.   "
"475","YM","S","Affirmative","F","70+",85,"quantifier",0,2,"Adjacent","Non-Adjacent","there was"," some younger men there doing- papering this room.  "
"476","YM","S","Affirmative","F","70+",85,"combo",2,4,"Non-Adjacent","Non-Adjacent","there was"," only about two race meetings a year wasn 't there one, years and years ago.  "
"477","YL","R","Affirmative","M","70+",86,"definite",3,3,"Non-Adjacent","Non-Adjacent","there were"," all the workmen at er John-Brown 's shipyard, "
"478","YL","S","Affirmative","M","70+",86,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," about four of us and I had a little gang, a youngster. "
"479","YL","R","Affirmative","M","70+",86,"numeric Q",0,4,"Adjacent","Non-Adjacent","there were"," thr-- th-- three mills, B mill, C mill "
"480","YL","R","Affirmative","M","70+",86,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there were"," three battalions really, "
"481","YL","R","Affirmative","M","70+",86,"bare NP",0,0,"Adjacent","Adjacent","there were"," aeroplanes on the Knavesmire, I remember seeing one there. "
"482","YL","R","Affirmative","M","70+",86,"bare NP",0,0,"Adjacent","Adjacent","there were"," mules at the back of the grand stand there.  Yes, army mules, yes (10.8). "
"483","YL","R","Affirmative","M","70+",86,"bare NP",0,0,"Adjacent","Adjacent","there were"," prisoners of war in the grand stand there. "
"484","YL","R","Negative","M","70+",86,"quantifier",0,0,"Adjacent","Adjacent","there weren"," 't many-"
"485","YL","R","Negative","M","70+",86,"quantifier",0,1,"Adjacent","Non-Adjacent","there weren"," 't many cars about.  Go onto the roads now, are not always very good.  "
"486","YL","R","Affirmative","M","70+",86,"combo",3,3,"Non-Adjacent","Non-Adjacent","there were","about s-- somewhere near a thousand men. "
"487","Yk","S","Affirmative","F","70+",87,"all",2,2,"Non-Adjacent","Non-Adjacent","there was"," all little houses in there.  "
"488","Yk","S","Affirmative","F","70+",87,"numeric Q",0,2,"Adjacent","Non-Adjacent","there was"," three little houses in.  And then "
"489","Xp","S","Affirmative","M","70+",91,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," thirty of the (inc) in nineteen-fifty-nine.  "
